customer_id,size,type
1999374890,,BAR
1888970123,MEDIUM,CORNER SHOP
658943856,MEDIUM,GROCERIES
1785072546,,HOME SALES
1442499970,SMALL,BAR
332127209,,GROCERIES
590143215,MEDIUM,CORNER SHOP
316823838,SMALL,HOME SALES
436262151,MEDIUM,CORNER SHOP
1737291059,LARGE,GROCERIES
1438080098,,PHARMACY
380756709,MEDIUM,FRESH VEGTABLE MARKET
842682044,MEDIUM,WINE AND SPIRIT
87725031,,CORNER SHOP
1653674620,MEDIUM,GROCERIES
862020609,MEDIUM,GROCERIES
95519185,SMALL,HOME SALES
506276041,MEDIUM,CORNER SHOP
1852868060,,CORNER SHOP
776782102,,HOME SALES
1356632525,MEDIUM,GROCERIES
1552961580,MICRO,PHARMACY
1315581807,SMALL,BAR
670546831,EXTRA LARGE,GROCERIES
461885247,,HOME SALES
1506852264,,GROCERIES
372510297,,HOME SALES
267255299,LARGE,GROCERIES
1889845293,SMALL,BAR
551577081,,HOME SALES
1713368031,,BAR
1427428793,,FAMILY-RUN SUPERMAKRET
2003171393,,HOME SALES
1774477404,,HOME SALES
1986881192,,HOME SALES
1139053240,MEDIUM,FRESH VEGTABLE MARKET
1155606911,,BAR
259709249,MEDIUM,GROCERIES
154071562,SMALL,HOME SALES
1234535971,MICRO,HOME SALES
60419991,MEDIUM,CORNER SHOP
797561195,MEDIUM,GROCERIES
191565397,MICRO,BAR
1829153200,MICRO,HOME SALES
1427372209,MEDIUM,BAR
641589823,,CORNER SHOP
1198492652,SMALL,HOME SALES
1841444872,MICRO,HOME SALES
1067584708,MEDIUM,GROCERIES
1663776270,MICRO,FAMILY-OWNED RESTAURANT
762573852,SMALL,HOME SALES
915690226,MEDIUM,GROCERIES
434391024,SMALL,HOME SALES
384120599,,HOME SALES
1205364798,MICRO,HOME SALES
1283968874,,BUTCHERY
824955289,,CORNER SHOP
1895280233,,HOME SALES
1157927620,SMALL,CORNER SHOP
1594673210,MICRO,CORNER SHOP
451686931,MICRO,HOME SALES
1156256517,MEDIUM,GROCERIES
2067568083,MICRO,HOME SALES
2136882702,,WINE AND SPIRIT
715415919,LARGE,GROCERIES
1090485271,SMALL,BAR
459556064,MICRO,HOME SALES
406815953,,HOME SALES
1651339822,LARGE,GROCERIES
2089317258,MICRO,HOME SALES
933083273,,CORNER SHOP
609748247,,HOME SALES
886247802,MEDIUM,CORNER SHOP
752174537,MICRO,HOME SALES
597452533,MICRO,GROCERIES
1882806116,SMALL,HOME SALES
1629790719,MEDIUM,GROCERIES
924289946,MICRO,HOME SALES
1852782043,MEDIUM,FAMILY-RUN SUPERMAKRET
113481240,MICRO,BAR
1154217600,MICRO,BUTCHERY
862224576,SMALL,HOME SALES
2098536026,,CORNER SHOP
1419322508,SMALL,HOME SALES
1135041287,MEDIUM,HOME SALES
674095151,,GROCERIES
612177046,SMALL,CORNER SHOP
859219356,,CORNER SHOP
848488035,MICRO,CORNER SHOP
2017716599,,HOME SALES
102304577,MEDIUM,GROCERIES
2144035024,,CORNER SHOP
417329562,EXTRA LARGE,WHOLESELLER
846968688,SMALL,GROCERIES
1412362000,MEDIUM,GROCERIES
1116099792,SMALL,FRESH VEGTABLE MARKET
2119220984,SMALL,HOME SALES
433601657,MICRO,HOME SALES
1858677668,,HOME SALES
681100972,MEDIUM,WINE AND SPIRIT
1851535952,MEDIUM,GROCERIES
1355662668,MEDIUM,GROCERIES
2097876513,SMALL,HOME SALES
777812327,,HOME SALES
1113003549,,HOME SALES
619403771,SMALL,CORNER SHOP
1750617541,SMALL,PHARMACY
449752939,LARGE,FAMILY-RUN SUPERMAKRET
1951582715,,HOME SALES
819734252,MICRO,HOME SALES
1161936809,MEDIUM,HOME SALES
1261642197,,HOME SALES
875881822,MICRO,HOME SALES
1899682776,,GROCERIES
19746159,,HOME SALES
2030266354,,BUTCHERY
1215224709,,CORNER SHOP
230191893,,HOME SALES
1782086881,,HOME SALES
1455277672,MEDIUM,CORNER SHOP
1697211071,,FAMILY-RUN SUPERMAKRET
1660825470,SMALL,HOME SALES
380565841,SMALL,BAR
1209128227,MEDIUM,GROCERIES
250231617,SMALL,HOME SALES
1195439354,,PHARMACY
1941981721,MICRO,CORNER SHOP
1187427087,,HOME SALES
307139266,,WINE AND SPIRIT
610350344,,HOME SALES
1154571982,,HOME SALES
769163477,SMALL,HOME SALES
24739449,SMALL,HOME SALES
898761955,EXTRA LARGE,FAMILY-RUN SUPERMAKRET
131269644,MICRO,HOME SALES
1280345028,,GROCERIES
618083449,MEDIUM,WINE AND SPIRIT
554807850,MICRO,GROCERIES
877872907,MEDIUM,GROCERIES
1439922871,MICRO,FAMILY-OWNED RESTAURANT
1144142461,MEDIUM,GROCERIES
1838078758,MEDIUM,GROCERIES
695771991,MICRO,CORNER SHOP
160158373,SMALL,HOME SALES
2102852257,EXTRA LARGE,GROCERIES
146282275,MEDIUM,HOME SALES
2085559934,SMALL,HOME SALES
832306146,SMALL,GROCERIES
1381097561,,GROCERIES
1827024174,EXTRA LARGE,WHOLESELLER
601915813,,HOME SALES
1667990645,MEDIUM,GROCERIES
1344801736,MEDIUM,GROCERIES
196387904,,HOME SALES
757909662,MICRO,HOME SALES
390835149,MEDIUM,CORNER SHOP
1427792214,,WINE AND SPIRIT
268325406,,HOME SALES
776348399,,HOME SALES
148920651,MEDIUM,GROCERIES
764590926,SMALL,CORNER SHOP
1555670320,MEDIUM,HOME SALES
1591998276,SMALL,CORNER SHOP
1169398537,SMALL,HOME SALES
846198049,SMALL,HOME SALES
616492038,MEDIUM,CORNER SHOP
627163141,MICRO,CORNER SHOP
2064139907,SMALL,GROCERIES
64013137,SMALL,HOME SALES
520117545,,CORNER SHOP
451205433,MICRO,HOME SALES
691300597,MEDIUM,FRESH VEGTABLE MARKET
15037581,,CORNER SHOP
